RangProvisoire;Numero;Nom;Prénom;InfosDiplôme;ExamenDuDossier;NotesRecruteur;Moyenne;MoyenneForcée;CumulDesCoefficients;DateDuDernierCalcul;NombreDeBonusMalusAppliqués;NombreErreursLorsDuCalcul;MarqueursDossier
1;668301;YLGUYHLSTL;Fmfrthamesabl;Baccalauréat<br/>STI2D-Système informatique et numérique<br/>en préparation;non examiné;1;16,04;non forcée;3;07/04/2014 à 17:22;0;2;0
2;576433;SCMTIUFLOY;Nvmgcqjshxywn;Baccalauréat<br/>S-SI-Informatique et Sciences du numérique<br/>en préparation;non examiné;1;15,72;non forcée;3;07/04/2014 à 17:22;0;2;0
3;502917;YRUBFGMRGO;Qtektbhxubvyu;Baccalauréat<br/>STMG-Ressources Humaines et Communication<br/>en préparation;non examiné;1;15,7;non forcée;3;07/04/2014 à 17:23;0;1;0
4;269517;FJAJCXSSNK;Yibhyrvimjkvb;Baccalauréat<br/>S-SVT-Informatique et Sciences du numérique<br/>en préparation;non examiné;1;15,67;non forcée;3;07/04/2014 à 17:23;0;16;0
5;1108512;ZEOPPPMMQH;Ofdibamzyalyv;Baccalauréat<br/>L-Langue renforcée<br/>obtenu;non examiné;1;15,63;non forcée;3;07/04/2014 à 17:22;0;27;0
6;376865;ASGZICBAVK;Ntzapbiftfsef;Baccalauréat<br/>P-Electrotechnique, énergie, équipements communicants<br/>en préparation;non examiné;1;15,32;non forcée;3;07/04/2014 à 17:22;0;0;0
7;178707;VWJWJEJOCT;Prgxehimozbrl;Baccalauréat<br/>P-Systèmes électroniques numériques<br/>en préparation;non examiné;1;15,27;non forcée;3;07/04/2014 à 17:23;0;1;0
7;576457;SEMYYSLDCQ;Erekaleuomlkb;Baccalauréat<br/>STI2D-Système informatique et numérique<br/>en préparation;non examiné;1;15,27;non forcée;3;07/04/2014 à 17:23;0;0;0
7;181550;JRRJJPHMGX;Yqinwdplsmxfp;Baccalauréat<br/>P-Comptabilité<br/>en préparation;non examiné;1;15,27;non forcée;3;07/04/2014 à 17:23;0;1;0
10;1025601;XZEHCAXMXB;Qjrzooryccpnb;Baccalauréat<br/>P-Comptabilité<br/>obtenu;non examiné;1;15,2;non forcée;3;07/04/2014 à 17:22;0;12;0
11;222327;REWCPHSMGN;Lcvugkzhproxj;Baccalauréat<br/>STMG-Gestion et Finance<br/>en préparation;non examiné;1;15,17;non forcée;3;07/04/2014 à 17:22;0;4;0
12;645757;JANLQRVGSI;Qmczzhxfyynif;Baccalauréat<br/>S-SVT-Mathématiques<br/>en préparation;non examiné;1;15,05;non forcée;3;07/04/2014 à 17:23;0;15;0
13;1099167;VARNPMVVPV;Zbijypbwmhvut;Baccalauréat<br/>S-SVT-Mathématiques<br/>en préparation;non examiné;1;15;non forcée;2;07/04/2014 à 17:23;0;2;0
14;1128049;LFNEXZYWWV;Igcxahjpthjto;Baccalauréat<br/>S-SI-Pas de spécialité (S.I)<br/>obtenu;non examiné;1;14,96;non forcée;3;07/04/2014 à 17:23;0;4;0
